candidate_id,rank,score,reasoning
CAND_0077337,1,0.8128,"Staff Machine Learning Engineer with 7.0yrs experience; AI/ML skills: rag, bm25, pinecone, qdrant; 7.0yrs (ideal), 4 senior roles; open to work; active this month; strong academic background (tier 1)"
CAND_0088025,2,0.7912,"Staff Machine Learning Engineer with 8.6yrs experience; AI/ML skills: rag, bm25, transformers, pinecone; 8.6yrs (ideal), 3 senior roles; open to work; active <90d; strong academic background (tier 2)"
CAND_0018499,3,0.7487,"Senior Machine Learning Engineer with 7.2yrs experience; AI/ML skills: rag, milvus, embeddings, weaviate; 7.2yrs (ideal), 3 senior roles; open to work; active <90d; strong academic background (tier 1); available soon (notice: 15d)"
CAND_0071974,4,0.7475,"Senior AI Engineer with 7.8yrs experience; AI/ML skills: bm25, embeddings, weaviate, pinecone; 7.8yrs (ideal), 3 senior roles; open to work; active <90d; strong academic background (tier 1)"
CAND_0002025,5,0.7327,"Senior AI Engineer with 5.9yrs experience; AI/ML skills: opensearch, weaviate, transformers, pinecone; 5.9yrs (ideal), 2 senior roles; open to work; active this month; strong academic background (tier 1); available soon (notice: 30d)"
CAND_0086022,6,0.7247,"Senior Applied Scientist with 5.3yrs experience; AI/ML skills: elasticsearch, embeddings, fine-tuning, transformers; 5.3yrs (ideal), 2 senior roles; open to work; active <90d; strong academic background (tier 1); available soon (notice: 0d)"
CAND_0055905,7,0.7195,"Senior Machine Learning Engineer with 8.1yrs experience; AI/ML skills: elasticsearch, langchain, python, transformers; 8.1yrs (ideal), 3 senior roles; open to work; active <90d; strong academic background (tier 2); available soon (notice: 30d)"
CAND_0011687,8,0.7186,"Senior NLP Engineer with 7.8yrs experience; AI/ML skills: opensearch, embeddings, langchain, weaviate; 7.8yrs (ideal), 2 senior roles; open to work; active <90d; strong academic background (tier 1); available soon (notice: 15d)"
CAND_0046064,9,0.7156,"Senior NLP Engineer with 8.9yrs experience; AI/ML skills: opensearch, elasticsearch, bm25, python; 8.9yrs (ideal), 3 senior roles; open to work; active <90d; strong academic background (tier 1); available soon (notice: 30d)"
CAND_0081846,10,0.7140,"Lead AI Engineer with 6.7yrs experience; AI/ML skills: elasticsearch, embeddings, bm25, python; 6.7yrs (ideal), 2 senior roles; open to work; active <90d; strong academic background (tier 1); available soon (notice: 30d)"
CAND_0033861,11,0.7132,"Senior NLP Engineer with 8.0yrs experience; AI/ML skills: elasticsearch, weaviate, pinecone, qdrant; 8.0yrs (ideal), 3 senior roles; notice 30d (ideal); strong academic background (tier 2); available soon (notice: 30d)"
CAND_0078492,12,0.7072,"Recommendation Systems Engineer with 5.1yrs experience; AI/ML skills: bm25, transformers, qdrant, llm; 5.1yrs (ideal), 1 senior roles; open to work; active <90d; strong academic background (tier 1); available soon (notice: 30d)"
CAND_0037944,13,0.6969,"Senior Data Scientist with 4.9yrs experience; AI/ML skills: opensearch, embeddings, python, transformers; 4.9yrs (good range), 1 senior roles; open to work; active <90d; strong academic background (tier 1); available soon (notice: 30d)"
CAND_0099806,14,0.6969,"AI Engineer with 4.6yrs experience; AI/ML skills: rag, embeddings, weaviate, transformers; 4.6yrs (good range); open to work; active <90d; strong academic background (tier 1); available soon (notice: 30d)"
CAND_0061265,15,0.6926,"Recommendation Systems Engineer with 6.6yrs experience; AI/ML skills: milvus, embeddings, langchain, transformers; 6.6yrs (ideal), 2 senior roles; open to work; active <90d; strong academic background (tier 1)"
CAND_0036184,16,0.6881,"Recommendation Systems Engineer with 6.0yrs experience; AI/ML skills: embeddings, langchain, transformers, pinecone; 6.0yrs (ideal); open to work; active this month; strong academic background (tier 2); available soon (notice: 30d)"
CAND_0075574,17,0.6868,"Machine Learning Engineer with 5.7yrs experience; AI/ML skills: opensearch, elasticsearch, weaviate, transformers; 5.7yrs (ideal); open to work; active <90d; strong academic background (tier 1)"
CAND_0007009,18,0.6825,"Recommendation Systems Engineer with 7.9yrs experience; AI/ML skills: bm25, embeddings, weaviate, python; 7.9yrs (ideal); open to work; notice 30d (ideal); available soon (notice: 30d)"
CAND_0066999,19,0.6764,"Recommendation Systems Engineer with 5.9yrs experience; AI/ML skills: opensearch, bm25, pinecone, llm; 5.9yrs (ideal), 1 senior roles; open to work; active <90d; strong academic background (tier 1); available soon (notice: 15d)"
CAND_0050454,20,0.6756,"AI Engineer with 6.8yrs experience; AI/ML skills: bm25, langchain, fine-tuning, qdrant; 6.8yrs (ideal); open to work; active <90d; available soon (notice: 30d)"
CAND_0039754,21,0.6754,"Senior Applied Scientist with 16.2yrs experience; AI/ML skills: opensearch, bm25, fine-tuning, qdrant; 16.2yrs (out of range), 3 senior roles; open to work; active <90d; strong academic background (tier 1); available soon (notice: 30d)"
CAND_0020708,22,0.6736,"Search Engineer with 4.2yrs experience; AI/ML skills: elasticsearch, langchain, python, fine-tuning; 4.2yrs (good range); open to work; active <90d; strong academic background (tier 2); available soon (notice: 30d)"
CAND_0044222,23,0.6730,"AI Engineer with 7.7yrs experience; AI/ML skills: opensearch, bm25, langchain, weaviate; 7.7yrs (ideal); open to work; active <90d; strong academic background (tier 1)"
CAND_0076163,24,0.6691,"NLP Engineer with 6.9yrs experience; AI/ML skills: bm25, langchain, weaviate, python; 6.9yrs (ideal); open to work; active <90d; strong academic background (tier 2)"
CAND_0041611,25,0.6678,"Staff Machine Learning Engineer with 6.4yrs experience; AI/ML skills: opensearch, bm25, weaviate, fine-tuning; 6.4yrs (ideal), 3 senior roles; inactive 198d; notice 30d (ideal); available soon (notice: 30d)"
CAND_0052682,26,0.6657,"NLP Engineer with 6.6yrs experience; AI/ML skills: embeddings, python, fine-tuning, llm; 6.6yrs (ideal); open to work; active <90d; strong academic background (tier 1); available soon (notice: 30d)"
CAND_0064326,27,0.6619,"Search Engineer with 7.6yrs experience; AI/ML skills: rag, milvus, bm25, weaviate; 7.6yrs (ideal); open to work; active this month; strong academic background (tier 2)"
CAND_0093547,28,0.6601,"Senior Machine Learning Engineer with 2.9yrs experience; AI/ML skills: rag, milvus, python, llm; 2.9yrs (out of range), 3 senior roles; active <90d; high response rate (75%); strong academic background (tier 1)"
CAND_0053591,29,0.6600,"AI Engineer with 5.3yrs experience; AI/ML skills: opensearch, milvus, embeddings, langchain; 5.3yrs (ideal); open to work; active <90d; strong academic background (tier 2)"
CAND_0096142,30,0.6583,"Applied ML Engineer with 5.0yrs experience; AI/ML skills: rag, bm25, weaviate, python; 5.0yrs (ideal); open to work; active this month; strong academic background (tier 1)"
CAND_0055992,31,0.6560,"AI Engineer with 16.9yrs experience; AI/ML skills: opensearch, rag, embeddings, langchain; 16.9yrs (out of range), 1 senior roles; open to work; active <90d; strong academic background (tier 1)"
CAND_0095528,32,0.6511,"Senior Data Scientist with 5.3yrs experience; AI/ML skills: opensearch, elasticsearch, fine-tuning, python; 5.3yrs (ideal), 1 senior roles; open to work; active <90d; strong academic background (tier 1)"
CAND_0014440,33,0.6466,"Recommendation Systems Engineer with 6.4yrs experience; AI/ML skills: elasticsearch, milvus, fine-tuning, qdrant; 6.4yrs (ideal); open to work; active <90d; strong academic background (tier 2)"
CAND_0091909,34,0.6449,"Machine Learning Engineer with 6.9yrs experience; AI/ML skills: opensearch, transformers, pinecone, qdrant; 6.9yrs (ideal); open to work; notice 45d; strong academic background (tier 1)"
CAND_0081686,35,0.6429,"Search Engineer with 6.0yrs experience; AI/ML skills: milvus, embeddings, langchain, python; 6.0yrs (ideal); active <90d; high response rate (91%); strong academic background (tier 1)"
CAND_0015578,36,0.6394,"AI Engineer with 5.4yrs experience; AI/ML skills: bm25, embeddings, transformers, pinecone; 5.4yrs (ideal); open to work; active <90d; strong academic background (tier 1)"
CAND_0086151,37,0.6350,"Recommendation Systems Engineer with 7.7yrs experience; AI/ML skills: opensearch, embeddings, langchain, transformers; 7.7yrs (ideal); open to work; active <90d"
CAND_0068351,38,0.6350,"Lead AI Engineer with 6.4yrs experience; AI/ML skills: ranking, python, qdrant, elasticsearch; 6.4yrs (ideal), 3 senior roles; active <90d; high response rate (86%); strong academic background (tier 1); available soon (notice: 0d)"
